id_bien,adresse,surf_carrez,nb_lot,type_local,surf_reelle,nb_piece,idcom
1350B147822,190 A RUE CENTRALE,50.42,1,Appartement,52,2,1
1103A30212,347  RUE DU CHATEAU,48.22,2,Appartement,48,3,2
1103B8899,17  LOT LES JARDINS DE CHEVRY,30.23,1,Appartement,30,1,2
1103B135443,77  RUE LA PIECE,123.16,1,Maison,118,5,2
1103B99721,711  RUE DES MORAINES,42.92,2,Appartement,41,2,2
1143AK563146,58  AV DU MONT BLANC,130.8,2,Appartement,130,6,3
1143H44214,1403  RUE JEAN DE GINGINS,93.23,3,Maison,96,4,3
1143AE5639,44  ALL DU SQUARE DE LAUSANNE,88.11,1,Appartement,88,4,3
1143AH197100,90  RUE DE LAUSANNE,135.68,3,Appartement,133,4,3
1143AX22886,786  AV DES VOIRONS,46.05,1,Appartement,46,2,3
1143H25410,47  CHE DES ECOLIERS,51.7,2,Appartement,42,2,3
1143AS9127,114  RUE DU CONTE DES PERMISSIONS,58.62,1,Appartement,63,2,3
1143B22649,28  CHE DU PEUDEX,67.33,1,Appartement,63,3,3
1143AT5012,644  RUE D ARBERE,96.46,1,Maison,96,5,3
1143AE44214,96  RUE DU JURA,90.4,2,Appartement,90,4,3
1143AK4310,152  GR GRANDE RUE,50.11,1,Appartement,35,1,3
1288C230711,140  RUE DE L'ABBE JOLIVET,109.22,1,Maison,109,5,4
1288F26054,276  RTE DE POUGNY,35.6,1,Appartement,36,2,4
133AE44031,39  RUE BUFFON,108.65,2,Appartement,91,4,5
133AI126213,3  RUE TURENNE,82.6,2,Appartement,84,4,5
133AL35,86  RUE DE LA REPUBLIQUE,38,1,Appartement,39,1,5
133AL611,24  RUE LAMARTINE,47.65,3,Appartement,62,3,5
133AL740141,60  RUE DE SAVOIE,75,1,Appartement,74,4,5
133AI46611,198  RTE DE VOUVRAY,62.38,1,Appartement,63,3,5
133AI46621,198  RTE DE VOUVRAY,92.04,1,Appartement,100,4,5
133AI46379,392  RTE DE VOUVRAY,81.24,1,Appartement,83,4,5
133AL74077,8  RUE GEORGES MARIN,69.66,1,Appartement,69,3,5
133AD277216,54  RUE ANTOINE JACQUET,88.83,1,Appartement,88,4,5
133AC27258,1  RUE JOLIOT CURIE,56.65,1,Appartement,56,2,5
13391AC35829,76  RUE COLONEL XAVIER RENDU,54.7,1,Appartement,54,2,5
133AH21319,35  RUE BUFFON,70.15,2,Appartement,69,3,5
133AL10233,20  RUE PARMENTIER,57.23,1,Appartement,56,2,5
133AO1092,38 B RUE JOSEPH MARION,61.89,1,Appartement,60,3,5
13318AB21913,22  RUE DE L AVENIR,89.2,2,Appartement,89,5,5
133AI12617,7  RUE TURENNE,28.8,2,Appartement,40,1,5
133AL74056,6  RUE GEORGES MARIN,68.92,1,Appartement,68,3,5
133AC137309,1  ALL ALBERT CAMUS,58.3,1,Appartement,59,2,5
1138AP35750,28  AV JEAN FALCONNIER,31.65,1,Appartement,32,2,6
1138AO29,4  RUE DE LA MAIRIE,35.86,1,Appartement,50,3,6
1138AS3301,9  RUE DES FRERES SERPOLLET,53.81,1,Appartement,53,3,6
1354BH7911,8  RUE DE GENEVE,52.58,1,Appartement,52,2,7
1354AX8304,2  RUE DU RECULET,58.71,1,Appartement,60,2,7
1354AB38721,226  ALL DES CAPUCINES,117,1,Maison,117,5,7
1354BC10841,2  RUE DU JURA,84.24,1,Appartement,83,3,7
1354BD33812,132  ALL DES HETRES,131.91,1,Appartement,133,4,7
1354AX158211,10  RUE DES HAUTAINS,112.3,1,Appartement,112,5,7
1354AX1121,2  RUE DE CHAMP FUSY,30.62,2,Appartement,31,1,7
1354BD29719,53  ALL DES PRUNUS,165.92,1,Appartement,166,5,7
1354AX1635,33  RUE DE GENEVE,53.43,1,Appartement,56,3,7
1354AX7515,3 A RUE GEORGES CHARPAK,47.6,1,Appartement,49,2,7
1354BD2538,461  RUE JEAN-JACQUES ROUSSEAU,132.16,1,Appartement,131,5,7
1354AX262,34  RUE DES ECOLES,138.05,1,Maison,101,5,7
1354AX8135,16  RUE DES HAUTAINS,52.58,1,Appartement,58,2,7
1354BD22917,181  RUE PARC JEAN MONNET,133.24,1,Appartement,133,4,7
1354AX158213,10  RUE DES HAUTAINS,111.06,1,Appartement,112,5,7
1354BD29717,53  ALL DES PRUNUS,166.98,1,Appartement,166,5,7
1283AN149169,79  CRS DE VERDUN,138.03,2,Appartement,137,5,8
1283AB59213,10  RUE AMPERE,68.11,1,Appartement,67,2,8
1283AL7311,14  RUE CASTELLION,88,1,Appartement,92,3,8
1283AH59628,1  ESPA CHARLES DE GAULLE,64.44,3,Appartement,64,3,8
1283AE33613,12  RUE DU MURET,22.2,1,Appartement,30,1,8
1357AB28811,77 B RUE DU COMMERCE,42,1,Appartement,43,2,9
1173AM11110,240  RUE DE PRE BAILLY,45.36,2,Appartement,45,2,10
1173AC3461,6  RUE DES USINIERS,45.54,1,Appartement,45,1,10
1173AP7306,812  RUE DES VERTES CAMPAGNES,164.18,1,Maison,160,6,10
1173AK16451,377  RUE DES ABATTOIRS,88.7,1,Appartement,87,4,10
1173AI2401,27  RLE DE L EGLISE,46.12,1,Appartement,53,3,10
1173AM30140,242  RUE DE PRE BAILLY,50.33,2,Appartement,50,2,10
1173AH13124,256  AV DE BELLE FERME,34.56,1,Appartement,34,2,10
1173AH13131,256  AV DE BELLE FERME,55.4,1,Appartement,55,3,10
1173AC723,68  RUE DES USINIERS,61.54,1,Appartement,68,4,10
1173AI41331,18  AV FRANCIS BLANCHARD,51,1,Appartement,54,2,10
1173AP7332,242  RUE DES VERTES CAMPAGNES,92.45,1,Appartement,105,3,10
1173AM63105,346  RUE DE PRE BAILLY,68.45,2,Appartement,68,3,10
1173AM6350,348  RUE DE PRE BAILLY,77.86,2,Appartement,77,4,10
1173AI6543,170  RUE DES TERREAUX,32.6,1,Appartement,33,2,10
14AO5393,59  RUE ALEXANDRE BERARD,164.87,1,Appartement,143,6,11
14BP106418,54  RUE MARCEL DEMIA,68.23,1,Appartement,68,3,11
14BM705,29  RUE REINE CLOTILDE,54.84,2,Appartement,62,2,11
14AP96362,25  RUE DE LA COMMUNE 1871,70.1,2,Maison,68,3,11
14BD312101,60  ALL DES FRERES CAUDRON,50.64,1,Appartement,51,2,11
14AO10465,13  RUE JEAN MONNET,54.65,1,Appartement,55,2,11
14BR44326,2  RUE DE LA BATISSE,81.15,2,Appartement,81,3,11
14AO7391,72  RUE DE LA REPUBLIQUE,35.59,1,Appartement,33,2,11
14AW33310,36  RUE DES APOTRES,74.72,1,Appartement,79,2,11
14AO105710,54 B RUE ARISTIDE BRIAND,70.45,1,Appartement,75,3,11
14BT370136,78  AV DU GEN SARRAIL,92.47,1,Appartement,92,5,11
171AT26747,282  CHE DES LONGES RAYES,42.2,2,Appartement,42,2,12
171AB221,77 J LOT CLOS CHAMP VRILLARD,105.68,1,Maison,143,6,12
171AW8423,120 B CHE DU MARTINET,67.94,2,Appartement,67,3,12
171AW8424,120 B CHE DU MARTINET,68.08,2,Appartement,67,3,12
171AA10218,67  RTE DE GENEVE,42.01,1,Appartement,42,2,12
171AT26730,282  CHE DES LONGES RAYES,42.59,2,Appartement,42,2,12
1396AD1514,54  GR GRANDE RUE,68.11,1,Appartement,65,3,13
1160AE511,1  RUE DE GEX,82.59,1,Appartement,75,3,14
1160AE3521129,80  RUE DE MEYRIN,63.58,3,Appartement,63,3,14
1160AI495128,1  AV DU BIJOU,71.08,2,Appartement,71,3,14
1160AD1541,58  CHE DE LA PLANCHE BRULEE,97.03,1,Maison,101,4,14
1160AD78402,91  CHE DE LA PLANCHE BRULEE,133.77,2,Appartement,120,4,14
1160AE3521423,84  RUE DE MEYRIN,63.45,3,Appartement,63,3,14
1160AD105148,26  CHE DE LA PLANCHE BRULEE,66.95,2,Appartement,67,3,14
1160AM47020,30  RUE DE VERSOIX,74.85,3,Appartement,75,3,14
1160AD9727,40  RUE VICTOR HUGO,83.82,1,Maison,80,4,14
1160AK223109,38  AV DE VESSY,56.96,1,Appartement,57,2,14
1160AE3521101,80  RUE DE MEYRIN,63.54,3,Appartement,63,3,14
1160AO45141,48  RUE DE GENEVE,114.17,2,Appartement,115,4,14
1160AE419131,4  IMP DU PEGAN,36.21,1,Appartement,36,1,14
1160AM518116,17  AV DES ALPES,95.66,2,Appartement,106,5,14
1160AM517420,16  AV DU JURA,2.36,1,Appartement,2,0,14
1160AE3521307,86  RUE DE MEYRIN,63.27,3,Appartement,63,3,14
1399AA3372,329  RUE DES CARPIERES,24.8,1,Appartement,25,1,15
1399AD42,663  RTE BLANCHE,84.97,2,Appartement,88,3,15
1399AK80105,183  RUE DU VIEUX BOURG,45.12,2,Appartement,30,1,15
1202F40560,369  AV CHARLES DE GAULLE,52.6,1,Appartement,52,2,16
1202F98046,79  GR GRANDE RUE DE BULLIEZ,70.09,2,Appartement,74,3,16
1202A15001,956  RTE DE BOURG,94.09,1,Maison,88,2,16
1202AC78219,5  PL DE L EGLISE,37.63,2,Appartement,39,2,16
1202AC16324,44  RUE PASTEUR,71.29,2,Appartement,71,3,16
1202F6337,399  RUE DU COTEILLON,103.62,1,Maison,88,4,16
1204300AI434,154  RUE SUR LA VIGNETTE,91.69,1,Appartement,88,3,17
134BK72,269  CHE DE CHARIGNIN,62.03,1,Appartement,64,3,18
134AH17224,3  RUE STE MARIE,72.75,2,Appartement,73,4,18
134A189514,386  CHE DES SOUPIRS,63.17,2,Appartement,63,3,18
134AS248122,150  RUE DE LA REPUBLIQUE,38.67,2,Appartement,39,2,18
134AS26055,5001  ALL HONORE DE BALZAC,82.37,1,Maison,80,4,18
134AS18325,99  RUE DE L AMITIE,78.54,1,Appartement,77,4,18
134AK3803,13  PL DES FOURS,117.63,1,Appartement,117,5,18
134A27822,67  RTE DE CHAVORNOD,57.5,3,Appartement,58,3,18
1281AH574,322  RUE DE BRETIGNY,112.93,1,Maison,109,4,19
1281AO29019,148  IMP DU SAUGY,70.53,3,Appartement,71,3,19
1281AH541,322  RUE DE BRETIGNY,90.33,1,Maison,90,4,19
1281AE1121,223  RUE DES PRALETS,113.52,1,Appartement,113,4,19
1281AO2907,195  IMP DU SAUGY,102.52,1,Maison,103,4,19
1148AC542,8  RUE DE LA BIENNE,200,1,Appartement,121,4,20
1313AY3754,211  RUE CHANTEPIE,44.48,1,Appartement,45,2,21
1313AP75941,102  MAIL DU NEUTRINO,95.43,1,Maison,95,4,21
1313251BE13297,94  ALL SIMON VAN DER MEER,87.38,1,Appartement,89,4,21
1313AP75924,103  MAIL DU NEUTRINO,110.13,1,Maison,110,5,21
1313AP75306,33  MAIL DU NEUTRINO,71.43,1,Appartement,70,3,21
1313AN13944,247  CHE DE PRE DE PLANCHE,73.77,2,Maison,77,4,21
1313251BI634,4  CHE DU MARAIS,85.12,1,Appartement,82,4,21
160AC36815,25  RUE DE LA ROCHE SAMUEL,64.21,1,Appartement,63,2,22
1363AB391,6   DE LA TOUR,76.7,1,Appartement,90,4,23
1269AB84146,3  RUE DU DOCTEUR GREZEL,107.61,1,Appartement,106,5,24
1269AB52410,7  RUE DU DOCTEUR GREZEL,45.5,3,Appartement,40,2,24
1345AD44158,28  RUE DU DOC CHARCOT,42.78,1,Appartement,43,2,25
1419BR14538,312  RUE DES TERRASSES,124.55,1,Maison,120,5,26
1419BR1005,88  RUE DU PETIT CHAMP,99.13,1,Maison,102,4,26
1419BO52112,27  RUE DES VERGERS,43.42,2,Appartement,43,2,26
1419BO5245,75  RUE DES VERGERS,56.02,1,Appartement,56,3,26
1419BV33102,6066  RUE DES BATTOIRS,69.65,2,Appartement,69,3,26
1419BR1261,20   HAMEAU DES CHENES,101.52,1,Maison,102,6,26
1419BV33101,6066  RUE DES BATTOIRS,59.67,2,Appartement,59,2,26
1419AM443,62  CHE DU PONT DE GREMAZ,68.69,2,Appartement,65,3,26
131AP3171,1  RUE GERARD DE NERVAL,70.78,2,Appartement,68,3,27
131AN920,86  RUE GUSTAVE EIFFEL,46.68,1,Appartement,46,2,27
1185B105420,115  RUE MASONOD,77.3,2,Appartement,75,4,28
1210D61967,541  RUE DES MONTS JURA,51.99,2,Appartement,56,2,29
1210D624605,40  IMP DES PISTES,21.48,1,Appartement,21,2,29
1436B2393,8  RTE DE DIVONNE,134.17,1,Appartement,136,4,30
1192AI20012,250  RUE DES FRENES,83.6,1,Maison,83,4,31
1153AD1075,923  RTE DE MURY,99.39,1,Maison,86,4,32
1153AS711,88  RUE DE LA PIERRE,222.97,1,Maison,170,3,32
1435AI16211,27  RTE DE CESSY,85.12,2,Appartement,85,4,33
1390B2513,1143  RUE CLAIRES FONTAINES,43.23,1,Appartement,43,2,34
1390B157722,15  CHE DU LAVOIR,32.27,2,Appartement,32,2,34
1109F366,91   GRAND' RUE,295.21,1,Appartement,190,6,35
179B4601,232  RUE DE LA ROCHETTE,127.2,2,Appartement,127,4,36
1199AH2114,9  RUE DE LA FLAUDIERE,65.29,1,Appartement,74,3,37
1199AH8311,4  PL DE L HOTEL DE VILLE,44.24,2,Appartement,48,2,37
1240AB1882,5186   MATAFELON,42.89,2,Appartement,32,2,38
1187F56317,5208   LE BULOZ,35.3,2,Appartement,35,3,39
114AM2285,47  RUE DU CHANE,48.38,1,Appartement,48,2,40
